,0,1,2,3,4,5,6,7,8,9
0,0.0%±0.0%,0.11%±0.0%,0.11%±0.0%,0.18%±0.0%,0.08%±0.0%,0.23%±0.0%,0.22%±0.0%,0.1%±0.0%,0.23%±0.0%,0.1%±0.0%
1,0.0%±0.0%,0.0%±0.0%,0.06%±0.0%,0.04%±0.0%,0.19%±0.0%,0.0%±0.0%,0.08%±0.0%,0.11%±0.0%,0.04%±0.0%,0.04%±0.0%
2,0.43%±0.0%,0.37%±0.0%,0.0%±0.0%,0.68%±1.0%,0.57%±1.0%,0.13%±0.0%,0.16%±0.0%,0.86%±1.0%,0.64%±1.0%,0.03%±0.0%
3,0.35%±1.0%,0.34%±0.0%,0.69%±1.0%,0.0%±0.0%,0.06%±0.0%,1.8%±1.0%,0.1%±0.0%,0.45%±0.0%,1.18%±1.0%,0.22%±0.0%
4,0.12%±0.0%,1.34%±1.0%,1.1%±1.0%,0.26%±0.0%,0.0%±0.0%,0.36%±0.0%,0.6%±0.0%,0.36%±0.0%,0.43%±1.0%,1.22%±1.0%
5,0.75%±1.0%,0.07%±0.0%,0.35%±0.0%,1.12%±1.0%,0.17%±0.0%,0.0%±0.0%,0.65%±1.0%,0.1%±0.0%,0.9%±1.0%,0.28%±0.0%
6,0.85%±1.0%,0.81%±1.0%,0.11%±0.0%,0.0%±0.0%,0.38%±0.0%,0.39%±1.0%,0.0%±0.0%,0.0%±0.0%,0.52%±1.0%,0.0%±0.0%
7,0.1%±0.0%,0.39%±1.0%,0.51%±1.0%,0.0%±0.0%,0.62%±1.0%,0.15%±0.0%,0.0%±0.0%,0.0%±0.0%,0.34%±0.0%,0.97%±1.0%
8,0.9%±1.0%,0.69%±1.0%,0.66%±1.0%,0.96%±1.0%,0.46%±1.0%,1.41%±1.0%,0.31%±1.0%,0.54%±1.0%,0.0%±0.0%,0.17%±0.0%
9,0.21%±0.0%,0.21%±0.0%,0.19%±0.0%,0.16%±0.0%,1.43%±1.0%,0.33%±0.0%,0.1%±0.0%,1.23%±1.0%,0.28%±0.0%,0.0%±0.0%
