,0,1,2,3,4,5,6,7,8,9
0,0.0%±0.0%,0.24%±0.0%,0.34%±0.0%,0.27%±0.0%,0.16%±0.0%,0.6%±0.0%,0.46%±0.0%,0.03%±0.0%,0.16%±0.0%,0.08%±0.0%
1,0.0%±0.0%,0.0%±0.0%,0.04%±0.0%,0.0%±0.0%,0.18%±0.0%,0.1%±0.0%,0.16%±0.0%,0.12%±0.0%,0.04%±0.0%,0.0%±0.0%
2,0.76%±1.0%,0.65%±1.0%,0.0%±0.0%,0.59%±1.0%,0.41%±0.0%,0.55%±1.0%,0.2%±0.0%,0.98%±1.0%,0.16%±1.0%,0.13%±0.0%
3,0.13%±0.0%,0.43%±0.0%,0.98%±1.0%,0.0%±0.0%,0.12%±0.0%,4.33%±2.0%,0.03%±0.0%,0.83%±1.0%,1.6%±1.0%,0.3%±0.0%
4,0.54%±1.0%,2.94%±2.0%,1.31%±1.0%,0.09%±0.0%,0.0%±0.0%,0.74%±1.0%,0.7%±1.0%,0.36%±1.0%,0.12%±0.0%,1.36%±1.0%
5,0.74%±1.0%,0.37%±0.0%,0.34%±0.0%,1.18%±1.0%,0.34%±1.0%,0.0%±0.0%,0.73%±1.0%,0.21%±0.0%,0.41%±1.0%,0.32%±1.0%
6,0.39%±0.0%,0.62%±1.0%,0.33%±0.0%,0.0%±0.0%,0.54%±1.0%,0.69%±1.0%,0.0%±0.0%,0.06%±0.0%,0.36%±1.0%,0.12%±0.0%
7,0.19%±0.0%,0.41%±1.0%,0.47%±0.0%,0.21%±0.0%,0.89%±1.0%,0.24%±0.0%,0.03%±0.0%,0.0%±0.0%,0.15%±0.0%,1.49%±2.0%
8,0.5%±1.0%,0.76%±0.0%,1.47%±1.0%,0.89%±1.0%,0.7%±1.0%,2.64%±2.0%,0.42%±0.0%,0.6%±1.0%,0.0%±0.0%,0.63%±1.0%
9,0.03%±0.0%,0.4%±1.0%,0.22%±1.0%,0.23%±0.0%,1.61%±1.0%,1.07%±1.0%,0.13%±0.0%,1.55%±1.0%,0.4%±0.0%,0.0%±0.0%
